epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
29,6609.43,0.13432,0.89113,1,0.40204,0.0009035,0.0009035,0.0009035
30,6840.12,0.12613,0.89919,1,0.41141,0.000891125,0.000891125,0.000891125
31,7086.23,0.12773,0.8871,1,0.38412,0.00087875,0.00087875,0.00087875
32,7328.16,0.12451,0.90323,1,0.34421,0.000866375,0.000866375,0.000866375
33,7573.08,0.10953,0.91532,1,0.311,0.000854,0.000854,0.000854
34,7818.23,0.13961,0.91532,1,0.34961,0.000841625,0.000841625,0.000841625
35,8060.33,0.11323,0.92339,1,0.32257,0.00082925,0.00082925,0.00082925
36,8302.47,0.10212,0.91532,1,0.34555,0.000816875,0.000816875,0.000816875
37,8545.6,0.11102,0.91532,1,0.33078,0.0008045,0.0008045,0.0008045
38,8786.5,0.12729,0.90323,1,0.36685,0.000792125,0.000792125,0.000792125
39,9032.03,0.13334,0.91532,1,0.35762,0.00077975,0.00077975,0.00077975
40,9272.38,0.12353,0.91532,1,0.38025,0.000767375,0.000767375,0.000767375
41,9509.7,0.11026,0.91532,1,0.35986,0.000755,0.000755,0.000755
42,9745,0.09874,0.89919,1,0.40329,0.000742625,0.000742625,0.000742625
43,9979.17,0.12364,0.91532,1,0.33487,0.00073025,0.00073025,0.00073025
44,10214.3,0.1282,0.91532,1,0.34681,0.000717875,0.000717875,0.000717875
45,10447.4,0.11681,0.90726,1,0.35614,0.0007055,0.0007055,0.0007055
46,10683.9,0.10469,0.91532,1,0.35034,0.000693125,0.000693125,0.000693125
47,10917.8,0.11176,0.91129,1,0.38528,0.00068075,0.00068075,0.00068075
48,11151.7,0.11783,0.89516,1,0.3775,0.000668375,0.000668375,0.000668375
49,11387.7,0.10441,0.90726,1,0.3933,0.000656,0.000656,0.000656
50,11635.2,0.09185,0.93145,1,0.3136,0.000643625,0.000643625,0.000643625
51,11877.7,0.10128,0.93145,1,0.33447,0.00063125,0.00063125,0.00063125
52,12107.7,0.11125,0.91129,1,0.38275,0.000618875,0.000618875,0.000618875
53,12348,0.099,0.91935,1,0.38326,0.0006065,0.0006065,0.0006065
54,12584.9,0.0939,0.91935,1,0.34833,0.000594125,0.000594125,0.000594125
55,12821.6,0.11473,0.91935,1,0.38266,0.00058175,0.00058175,0.00058175
56,13057.6,0.1075,0.92742,1,0.34985,0.000569375,0.000569375,0.000569375
57,13292.9,0.09341,0.92339,1,0.35732,0.000557,0.000557,0.000557
58,13529.2,0.09299,0.91532,1,0.37103,0.000544625,0.000544625,0.000544625
59,13763.9,0.11775,0.91532,1,0.36862,0.00053225,0.00053225,0.00053225
60,13999.4,0.10449,0.90323,1,0.36621,0.000519875,0.000519875,0.000519875
61,14235.6,0.09744,0.91532,1,0.33167,0.0005075,0.0005075,0.0005075
62,14472,0.09558,0.91935,1,0.31995,0.000495125,0.000495125,0.000495125
63,14708.7,0.09265,0.92742,1,0.32236,0.00048275,0.00048275,0.00048275
64,14945,0.11061,0.92339,1,0.32147,0.000470375,0.000470375,0.000470375
65,15167.3,0.09956,0.89113,1,0.35001,0.000458,0.000458,0.000458
66,15402.1,0.09131,0.91532,1,0.33716,0.000445625,0.000445625,0.000445625
67,15640.2,0.10809,0.91129,1,0.3483,0.00043325,0.00043325,0.00043325
68,15875.9,0.08608,0.91129,1,0.36288,0.000420875,0.000420875,0.000420875
69,16104.6,0.11179,0.89516,1,0.37085,0.0004085,0.0004085,0.0004085
70,16317.1,0.08806,0.91532,1,0.35544,0.000396125,0.000396125,0.000396125
71,16556.4,0.11048,0.91129,1,0.36064,0.00038375,0.00038375,0.00038375
72,16806.2,0.09689,0.90323,1,0.36905,0.000371375,0.000371375,0.000371375
73,17054.3,0.11178,0.91129,1,0.34476,0.000359,0.000359,0.000359
74,17274.7,0.10087,0.91129,1,0.32404,0.000346625,0.000346625,0.000346625
75,17517.2,0.09848,0.91129,1,0.31296,0.00033425,0.00033425,0.00033425
